tx_id,amount,date,source
b5dd7901,193.02,2023-01-01 00:00:00,BANK_API
9a48340d,475.85,2023-01-01 01:00:00,BANK_API
e22c5140,368.68,2023-01-01 02:00:00,BANK_API
283719ef,303.34,2023-01-01 03:00:00,BANK_API
ade33976,86.45,2023-01-01 04:00:00,BANK_API
92efd0b3,86.44,2023-01-01 05:00:00,BANK_API
cbab3616,38.46,2023-01-01 06:00:00,BANK_API
96ff245e,434.43,2023-01-01 07:00:00,BANK_API
ec0daf90,304.55,2023-01-01 08:00:00,BANK_API
4f13785b,356.96,2023-01-01 09:00:00,BANK_API
c921d80c,20.09,2023-01-01 10:00:00,BANK_API
f917f78d,485.26,2023-01-01 11:00:00,BANK_API
f71a2ed3,417.9,2023-01-01 12:00:00,BANK_API
7c7ae245,114.05,2023-01-01 13:00:00,BANK_API
c2d51784,99.09,2023-01-01 14:00:00,BANK_API
988c99df,99.87,2023-01-01 15:00:00,BANK_API
435482da,159.08,2023-01-01 16:00:00,BANK_API
64bae6bb,267.13,2023-01-01 17:00:00,BANK_API
55d650d1,221.65,2023-01-01 18:00:00,BANK_API
2a7f5e0b,152.7,2023-01-01 19:00:00,BANK_API
7164faa3,309.81,2023-01-01 20:00:00,BANK_API
a89c0395,78.35,2023-01-01 21:00:00,BANK_API
c36d6fd8,153.15,2023-01-01 22:00:00,BANK_API
a881f02f,189.52,2023-01-01 23:00:00,BANK_API
e79f4a8f,233.47,2023-01-02 00:00:00,BANK_API
302e1bb5,394.74,2023-01-02 01:00:00,BANK_API
e6fd4cc5,107.84,2023-01-02 02:00:00,BANK_API
f626ca34,261.97,2023-01-02 03:00:00,BANK_API
121ef982,300.28,2023-01-02 04:00:00,BANK_API
2328b777,32.76,2023-01-02 05:00:00,BANK_API
9dc22fa7,307.7,2023-01-02 06:00:00,BANK_API
ba4dc05f,93.56,2023-01-02 07:00:00,BANK_API
921cba30,41.88,2023-01-02 08:00:00,BANK_API
2e5e09b0,474.95,2023-01-02 09:00:00,BANK_API
810975c5,483.16,2023-01-02 10:00:00,BANK_API
aaa4141b,406.11,2023-01-02 11:00:00,BANK_API
563aa1fc,159.26,2023-01-02 12:00:00,BANK_API
2da7a0e8,57.86,2023-01-02 13:00:00,BANK_API
4f1c8f32,345.27,2023-01-02 14:00:00,BANK_API
49ee9cb0,225.67,2023-01-02 15:00:00,BANK_API
79754524,69.8,2023-01-02 16:00:00,BANK_API
34286998,252.64,2023-01-02 17:00:00,BANK_API
93bceedc,26.85,2023-01-02 18:00:00,BANK_API
c44a38b1,455.57,2023-01-02 19:00:00,BANK_API
c07a52be,136.8,2023-01-02 20:00:00,BANK_API
GHOST-01,100.0,2023-01-02 00:00:00,BANK_API
GHOST-02,250.5,2023-01-02 00:00:00,BANK_API
